1500	0	1955	0	0.943533
2000	0	1955	0	0.943533
2500	0	1955	0	0.943533
3000	0	1955	0	0.943533
3500	0	1955	0	0.943533
4000	0	1955	0	0.943533
4500	0	1955	0	0.943533
5000	0	1955	0	0.943533
5500	0	1955	0	0.943533
1500	1	1381	61	0.695946
2000	1	1450	53	0.725386
2500	1	1493	49	0.744209
3000	1	1524	49	0.75917
3500	1	1563	49	0.777992
4000	1	1599	43	0.792471
4500	1	1619	33	0.797297
5000	1	1630	40	0.805985
5500	1	1691	37	0.833977
1500	2	1535	45	0.762548
2000	2	1524	42	0.755791
2500	2	1579	46	0.784266
3000	2	1584	46	0.78668
3500	2	1629	41	0.805985
4000	2	1628	34	0.802124
4500	2	1632	37	0.805502
5000	2	1637	36	0.807432
5500	2	1685	28	0.826737
1500	3	1272	66	0.645753
2000	3	1281	63	0.648649
2500	3	1279	70	0.651062
3000	3	1329	55	0.667954
3500	3	1359	53	0.681467
4000	3	1389	58	0.698359
4500	3	1409	56	0.707046
5000	3	1465	46	0.729247
5500	3	1494	57	0.748552
1500	4	1438	57	0.721525
2000	4	1461	59	0.733591
2500	4	1443	65	0.727799
3000	4	1442	55	0.72249
3500	4	1417	55	0.710425
4000	4	1465	51	0.73166
4500	4	1480	45	0.736004
5000	4	1484	48	0.739382
5500	4	1463	49	0.72973
1500	5	1302	79	0.666506
2000	5	1260	70	0.641892
2500	5	1250	64	0.63417
3000	5	1245	78	0.638514
3500	5	1247	77	0.638996
4000	5	1302	68	0.661197
4500	5	1314	69	0.667471
5000	5	1282	72	0.653475
5500	5	1322	66	0.669884
1500	6	1455	64	0.733108
2000	6	1447	66	0.730212
2500	6	1422	67	0.718629
3000	6	1392	73	0.707046
3500	6	1394	55	0.699324
4000	6	1356	62	0.684363
4500	6	1389	64	0.701255
5000	6	1382	64	0.697876
5500	6	1416	57	0.710907
1500	7	1245	83	0.640927
2000	7	1264	81	0.649131
2500	7	1302	77	0.665541
3000	7	1242	81	0.638514
3500	7	1242	79	0.637548
4000	7	1268	73	0.647201
4500	7	1283	77	0.656371
5000	7	1238	73	0.632722
5500	7	1268	74	0.647683
1500	8	1416	65	0.714768
2000	8	1400	70	0.709459
2500	8	1384	69	0.701255
3000	8	1376	64	0.694981
3500	8	1376	66	0.695946
4000	8	1348	66	0.682432
4500	8	1364	72	0.69305
5000	8	1341	75	0.683398
5500	8	1353	65	0.684363
